Subject Block Trial Dot_Coherence Sound_Direction Target_Location Response Response_Correct
02 06 08 +0.56 +0 -1 -1 1
02 06 09 +1.00 -1 +1 +1 1
02 06 10 +0.13 -1 -1 -1 1
02 06 11 +0.18 -1 -1 +1 0
02 06 12 +0.32 -1 +1 +1 1
02 06 13 +1.00 -1 -1 -1 1
02 06 14 +0.32 +1 +1 +1 1
02 06 15 +0.56 +1 -1 -1 1
02 06 16 +0.75 -1 -1 -1 1
02 06 17 +0.42 +0 +1 +1 1
02 06 18 +0.13 +0 +1 +1 1
02 06 19 +0.42 -1 +1 +1 1
02 06 20 +0.42 +1 -1 -1 1
02 06 21 +0.18 +1 +1 +1 1
02 06 22 +0.32 +0 +1 +1 1
02 06 23 +1.00 +0 -1 -1 1
02 06 24 +0.56 -1 -1 -1 1
02 06 25 +1.00 +1 +1 +1 1
02 06 26 +0.00 +0 +1 +1 1
02 06 27 +0.13 +1 -1 -1 1
02 06 28 +0.56 +1 +1 +1 1
02 06 29 +0.00 +1 -1 +1 0
02 06 30 +1.00 +0 +1 +1 1
02 06 31 +0.75 +0 +1 +1 1
02 06 32 +0.10 +1 -1 -1 1
02 06 33 +0.24 +0 +1 +1 1
02 06 34 +0.32 -1 -1 -1 1
02 06 35 +0.42 +1 +1 +1 1
02 06 36 +0.75 -1 +1 +1 1
02 06 37 +0.18 -1 +1 +1 1
02 06 38 +0.18 +0 +1 +1 1
02 06 39 +0.18 +0 -1 -1 1
02 06 40 +0.18 +1 -1 -1 1
02 06 41 +0.10 +1 +1 +1 1
02 06 42 +0.75 +1 -1 -1 1
02 06 43 +0.24 +1 +1 +1 1
02 06 44 +0.24 -1 -1 -1 1
02 06 45 +0.24 +0 -1 -1 1
02 06 46 +0.32 +0 -1 -1 1
02 06 47 +0.00 -1 +1 -1 0
02 06 48 +0.10 -1 -1 +1 0
02 06 49 +0.10 +0 +1 +1 1
02 06 50 +0.75 +1 +1 +1 1
02 06 51 +0.10 -1 +1 -1 0
02 06 52 +0.32 +1 -1 -1 1
02 06 53 +0.24 -1 +1 +1 1
02 06 54 +0.24 +1 -1 -1 1
02 06 55 +0.13 -1 +1 -1 0
02 06 56 +0.42 -1 -1 -1 1
02 06 57 +0.56 -1 +1 +1 1
02 06 58 +0.00 -1 -1 -1 0
